id,aro_id,aco_id,_create,_read,_update,_delete
859,1,251,1,1,1,1
860,3,251,-1,-1,-1,-1
861,4,251,-1,-1,-1,-1
862,5,251,-1,-1,-1,-1
863,6,251,-1,-1,-1,-1
864,7,251,-1,-1,-1,-1
865,1,255,-1,-1,-1,-1
866,3,255,-1,-1,-1,-1
867,4,255,1,1,1,1
868,5,255,-1,-1,-1,-1
869,6,255,-1,-1,-1,-1
870,7,255,-1,-1,-1,-1
871,1,256,-1,-1,-1,-1
872,3,256,-1,-1,-1,-1
873,4,256,1,1,1,1
874,5,256,-1,-1,-1,-1
875,6,256,-1,-1,-1,-1
876,7,256,-1,-1,-1,-1
877,1,257,-1,-1,-1,-1
878,3,257,-1,-1,-1,-1
879,4,257,1,1,1,1
880,5,257,-1,-1,-1,-1
881,6,257,-1,-1,-1,-1
882,7,257,-1,-1,-1,-1
883,1,258,-1,-1,-1,-1
884,3,258,1,1,1,1
885,4,258,-1,-1,-1,-1
886,5,258,-1,-1,-1,-1
887,6,258,-1,-1,-1,-1
888,7,258,-1,-1,-1,-1
889,1,259,-1,-1,-1,-1
890,3,259,1,1,1,1
891,4,259,-1,-1,-1,-1
892,5,259,-1,-1,-1,-1
893,6,259,-1,-1,-1,-1
894,7,259,-1,-1,-1,-1
895,1,260,-1,-1,-1,-1
896,3,260,1,1,1,1
897,4,260,-1,-1,-1,-1
898,5,260,-1,-1,-1,-1
899,6,260,-1,-1,-1,-1
900,7,260,-1,-1,-1,-1
901,1,264,-1,-1,-1,-1
902,3,264,-1,-1,-1,-1
903,4,264,-1,-1,-1,-1
904,5,264,-1,-1,-1,-1
905,6,264,1,1,1,1
906,7,264,-1,-1,-1,-1
907,1,265,-1,-1,-1,-1
908,3,265,-1,-1,-1,-1
909,4,265,-1,-1,-1,-1
910,5,265,-1,-1,-1,-1
911,6,265,1,1,1,1
912,7,265,-1,-1,-1,-1
913,1,266,-1,-1,-1,-1
914,3,266,-1,-1,-1,-1
915,4,266,-1,-1,-1,-1
916,5,266,-1,-1,-1,-1
917,6,266,1,1,1,1
918,7,266,-1,-1,-1,-1
919,1,267,-1,-1,-1,-1
920,3,267,-1,-1,-1,-1
921,4,267,-1,-1,-1,-1
922,5,267,-1,-1,-1,-1
923,6,267,1,1,1,1
924,7,267,-1,-1,-1,-1
925,1,268,-1,-1,-1,-1
926,3,268,-1,-1,-1,-1
927,4,268,-1,-1,-1,-1
928,5,268,-1,-1,-1,-1
929,6,268,1,1,1,1
930,7,268,-1,-1,-1,-1
931,1,270,-1,-1,-1,-1
932,3,270,-1,-1,-1,-1
933,4,270,-1,-1,-1,-1
934,5,270,-1,-1,-1,-1
935,6,270,1,1,1,1
936,7,270,-1,-1,-1,-1
937,1,273,-1,-1,-1,-1
938,3,273,1,1,1,1
939,4,273,-1,-1,-1,-1
940,5,273,-1,-1,-1,-1
941,6,273,-1,-1,-1,-1
942,7,273,-1,-1,-1,-1
943,1,274,-1,-1,-1,-1
944,3,274,1,1,1,1
945,4,274,-1,-1,-1,-1
946,5,274,-1,-1,-1,-1
947,6,274,-1,-1,-1,-1
948,7,274,-1,-1,-1,-1
949,1,275,-1,-1,-1,-1
950,3,275,1,1,1,1
951,4,275,-1,-1,-1,-1
952,5,275,-1,-1,-1,-1
953,6,275,-1,-1,-1,-1
954,7,275,-1,-1,-1,-1
955,1,279,1,1,1,1
956,3,279,-1,-1,-1,-1
957,4,279,-1,-1,-1,-1
958,5,279,-1,-1,-1,-1
959,6,279,-1,-1,-1,-1
960,7,279,-1,-1,-1,-1
961,1,280,1,1,1,1
962,3,280,-1,-1,-1,-1
