id,month_year,state_board_id,port_board_id,commodities_group_wise_id,ov_ul_if,ov_ul_ff,ov_l_if,ov_l_ff,ov_total,co_ul_if,co_ul_ff,co_l_if,co_l_ff,co_total,grand_total,status,approved_on,created_on,modified_on,created_by_user_id,updated_by_user_id,data_updated_no_of_times,last_data_updated_on,last_data_updated_by_user_id
48,2016-11-01 00:00:00,10,33,12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-12-18 16:20:20,2017-05-05 16:51:02,,52,,0,,
49,2017-01-01 00:00:00,10,33,1,0.000,2999.340,0.000,0.000,2999.340,0.000,0.000,0.000,0.000,0.000,2999.340,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
50,2017-01-01 00:00:00,10,33,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
51,2017-01-01 00:00:00,10,33,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
52,2017-01-01 00:00:00,10,33,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
53,2017-01-01 00:00:00,10,33,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
54,2017-01-01 00:00:00,10,33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
55,2017-01-01 00:00:00,10,33,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
56,2017-01-01 00:00:00,10,33,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
57,2017-01-01 00:00:00,10,33,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
58,2017-01-01 00:00:00,10,33,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Approved,2017-05-05 16:57:08,2017-05-05 16:52:48,,52,,0,,
