id,row_id,month_year,from_period,to_period,state_board_id,port_board_id,data_table_type_id,commodity_id,ov_ul_if,ov_ul_ff,ov_l_if,ov_l_ff,ov_total,co_ul_if,co_ul_ff,co_l_if,co_l_ff,co_total,grand_total,status,comm_remarks,data_submitted_for_approval_on,approved_on,created_on,modified_on,created_by_user_id,updated_by_user_id,log_data_created_on
78,661,2017-04-01 00:00:00,,,,6,1,31,0,0,0,23,23,0,0,22,0,22,45,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
79,662,2017-04-01 00:00:00,,,,6,1,32,0,0,0,0,0,6,0,0,0,6,6,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
80,663,2017-04-01 00:00:00,,,,6,1,33,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
81,664,2017-04-01 00:00:00,,,,6,1,34,0,102,0,4,106,0,0,7,0,7,113,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
82,667,2017-04-01 00:00:00,,,,6,1,36,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
83,668,2017-04-01 00:00:00,,,,6,1,37,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
84,669,2017-04-01 00:00:00,,,,6,1,38,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
85,670,2017-04-01 00:00:00,,,,6,1,39,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
86,671,2017-04-01 00:00:00,,,,6,1,40,0,4,0,2,6,0,0,0,0,0,6,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
87,672,2017-04-01 00:00:00,,,,6,1,42,0,1,0,13,14,0,0,0,0,0,14,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
88,673,2017-04-01 00:00:00,,,,6,1,43,0,0,0,25,25,0,0,0,0,0,25,Approval Awaited,,,2017-05-29 12:20:31,2017-05-29 11:55:06,,38,,2017-05-29 12:20:31
89,746,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,7,0,0,0,0,0,0,0,1419622,0,1419622,1419622,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
90,747,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,8,9550,432532,35491,487491,965064,850254,553615,28205,11542,1443616,2408680,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
91,748,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,9,131543,542125,0,0,673668,0,0,0,0,0,673668,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
92,749,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,10,0,1301810,0,0,1301810,0,0,0,0,0,1301810,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
93,750,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,11,0,97661,0,0,97661,0,0,0,0,0,97661,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
94,754,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,22,29366,2242510,28204,2170684,4470764,44,818,19553,8970,29385,4500149,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
95,755,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,23,383090,29154110,359440,24403170,54299810,530,9350,184420,36130,230430,54530240,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
96,751,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,25,3426,687500,0,75332,766258,0,0,0,113287,113287,879545,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
97,752,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,31,0,0,0,0,0,0,815680,0,0,815680,815680,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
98,753,,2016-04-01 00:00:00,2017-03-01 00:00:00,,11,3,43,0,444,4,6757,7205,2195,6590,1726,6698,17209,24414,Approval Awaited,,,2017-06-03 13:41:26,2017-06-03 12:28:01,,30,,2017-06-03 13:41:26
99,818,2017-03-01 00:00:00,,,3,27,1,11,0,3000,0,0,3000,0,0,0,0,0,3000,Approval Awaited,,,2017-06-23 10:47:07,2017-06-16 14:29:44,,68,,2017-06-23 10:47:07
100,1118,2016-04-01 00:00:00,,,,12,1,7,491149,732543,0,0,1223692,0,0,962582,0,962582,2186274,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
101,1119,2016-04-01 00:00:00,,,,12,1,8,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
102,1120,2016-04-01 00:00:00,,,,12,1,9,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
103,1121,2016-04-01 00:00:00,,,,12,1,10,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
104,1123,2016-04-01 00:00:00,,,,12,1,17,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
105,1129,2016-04-01 00:00:00,,,,12,1,20,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
106,1130,2016-04-01 00:00:00,,,,12,1,21,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
107,1136,2016-04-01 00:00:00,,,,12,1,22,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
108,1137,2016-04-01 00:00:00,,,,12,1,23,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
109,1138,2016-04-01 00:00:00,,,,12,1,24,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
110,1122,2016-04-01 00:00:00,,,,12,1,25,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
111,1124,2016-04-01 00:00:00,,,,12,1,26,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
112,1125,2016-04-01 00:00:00,,,,12,1,27,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
113,1126,2016-04-01 00:00:00,,,,12,1,28,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
114,1127,2016-04-01 00:00:00,,,,12,1,29,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
115,1128,2016-04-01 00:00:00,,,,12,1,34,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
116,1131,2016-04-01 00:00:00,,,,12,1,38,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
117,1132,2016-04-01 00:00:00,,,,12,1,39,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
118,1133,2016-04-01 00:00:00,,,,12,1,40,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
119,1134,2016-04-01 00:00:00,,,,12,1,42,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
120,1135,2016-04-01 00:00:00,,,,12,1,43,0,0,0,0,0,0,0,0,0,0,0,Approval Awaited,,,2017-07-26 16:26:28,2017-07-26 16:15:59,,44,,2017-07-26 16:26:28
